类型,名称,网址
AI,DeepSeek,https://www.deepseek.com/
AI,腾讯元宝,https://yuanbao.tencent.com/chat/naQivTmsDa?yb_channel=3009&yb_dl=js
AI,Kimi,https://www.kimi.com/
AI,豆包,https://www.doubao.com/chat/
AI,讯飞星火,https://xinghuo.xfyun.cn/
AI,ChatGPT,https://chatgpt.com/
AI,Google Gemini,https://gemini.google.com/app
AI,Google AI Studio,https://aistudio.google.com/prompts/new_chat?model=gemini-3-pro-preview
AI,Gork,https://grok.com/
AI,Claude,https://claude.ai/new
报刊导航,人民日报,https://www.people.com.cn/
报刊导航,新华社,https://www.xinhuanet.com/
报刊导航,光明日报,https://www.gmw.cn/
报刊导航,福克斯新闻,https://www.livenowfox.com/
报刊导航,卫报,https:///guardian.ng/category/news/world/
报刊导航,洛杉矶时报,https://https/www.latimes.com/
报刊导航,华尔街日报,http://www.wsj.com/
报刊导航,时代,https:///imesmagazin.com/
报刊导航,纽约邮报,http://www.nypost.com/
报刊导航,路透社,https://www.reuters.com/
报刊导航,新闻周刊,http://www.newsweekly.com.au/
报刊导航,英国观察者报,http://observer.guardian.co.uk/
报刊导航,人物,http://people.aol.com/people/index.html
报刊导航,新闻周报,http://www.newsweek.com/
报刊导航,ABC,http://abc.g.com/
报刊导航,全美广播电台,http://wwwnpr.org/
报刊导航,CNN,http:///www.cnn.com/
报刊导航,今日头条,https://www.toutiao.com/?wid=1770947133751
社交媒体,小红书,https://www.xiaohongshu.com/user/profile/65deb3000000000005008e41
社交媒体,X,https://x.com/home
社交媒体,You Tube,https://www.youtube.com/
社交媒体,微博,https://weibo.com/
工作,华南理工大学,https://www.scut.edu.cn/new/
工作,实时北京时间,https://old.flipclocker.com/number-clock
工作,南海区智慧桥梁管理系统,http://120.237.170.2:30101/bridge/bridge
工作,办公室网盘,https://xubackup.quickconnect.cn/
工作,飞迈安全监测云平台,https://www.jsfeimai.com/monitorStructure/login?redirect=%2Fhome
工作,桥梁传感器管理平台,http://120.79.246.112:8117/a/login;JSESSIONID=d1ca99c7e9584dd3b0928679d8016a2a
工作,Gmail,https://mail.google.com/mail/u/0/?pli=1#inbox
工作,官洲隧道监测系统,https://hgjc.dipufang.cn/
工作,顺德区智慧桥梁管理系统,https://shunde-bridge-web.dipufang.cn
工作,广东省长大桥梁/隧道/边坡结构健康监测平台,https://dev.gdjkjc.cn:50001/
实用工具,纯净魔法——cliproxy,https://cliproxy.com/zh/
实用工具,廉价魔法——SakuraCat,https://www.sakuracat.app/
实用工具,PDF编辑网页,https://www.ilovepdf.com/
实用工具,阿虚同学的储物间,https://axutongxue.onrender.com/
实用工具,Z-Library,https://zh.zlib.li/
实用工具,anna's archive,https://annas-archive.li/
实用工具,哔哩哔哩图片视频AI输出,https://www.liblib.art/
实用工具,Sci-Hub,https://sci-hub.st/
实用工具,Autodesk Viewer,https://viewer.autodesk.com/
实用工具,有道翻译,https://fanyi.youdao.com/?msclkid=cf1518cd1998121473927175d44fdb65#/AITranslate
实用工具,润色翻译——DocHero AI,https://www.dochero.ai/translate
实用工具,PingMe接码APP,https://pingmelite.com/cn/
实用工具,HEROSMS接码平台,https://hero-sms.com/cn/about
学习,哔哩哔哩,https://www.bilibili.com/
学习,毛泽东选集,https://weiyinfu.cn/MyStatic/MaoZeDongAnthology/%E7%9B%AE%E5%BD%95.html
学习,考公——刘文超,https://www.wenchaoedu.com/index
学习,华南理工大学图书馆,https://www.lib.scut.edu.cn/main.htm
学习,中国知网CNKI,https://www.cnki.net/
学习,Web of Science（SCI）,https://webofscience.clarivate.cn/wos/alldb/basic-search
学习,问问,https://www.deepseek.com/
代码,CSDN博客,https://www.csdn.net/?spm=1001.2101.3001.4476
代码,GitHub,https://github.com/
代码,PyTorch,https://pytorch.org/
代码,Replit,https://replit.com/~
影视,抖音,https://www.douyin.com/
影视,腾讯视频,https://v.qq.com/
影视,优酷,https://www.youku.com/ku/webhome
影视,爱奇艺,https://www.iqiyi.com/
影视,VIP视频解析接口,https://my.feishu.cn/docx/S5JCdnkM4oxevdxo15Ac7AHVnah
影视,荐片,https://jianpian16.com/#/home
影视,看片狂人,https://kpkuang.bond/
影视,共青春,https://gqc.ink/
影视,厂长资源,https://www.czzymovie.com/
其他,第1PPT,https://www.1ppt.com/
其他,小迪土木,https://www.szdipeng.com/home
